"Time","A","B","C","D","E","F","G","H"
"15:10:01",5.92936,3.14285,2.51428,6.06942,0,8.16118,1.33333,5.38274
"15:20:01",5.92936,3.14285,2.93333,5.35739,0,8.16118,1.33333,5.38274
"15:30:01",7.01381,3.14285,2.93333,6.28069,8.30225,8.16118,1.33333,5.38274
"15:40:01",4.86048,3.14285,2.93333,3.70184,8.30225,7.88609,1.33333,5.38274
"15:50:01",4.86048,3.14285,3.35238,2.0867,8.30225,7.88609,1.33333,5.38274
"16:00:01",5.92936,3.14285,3.35238,2.53064,8.30225,7.88609,1.33333,5.38274
"16:10:01",0.78419,3.14285,3.35238,3.64932,8.14835,7.88609,1.33333,5.38274
"16:20:01",5.18175,3.14285,3.77142,5.35739,8.30225,7.88609,1.33333,5.38274
"16:30:01",5.18175,3.14285,3.77142,5.35739,8.30225,7.88609,1.33333,5.38274
"16:40:01",7.08218,3.14285,3.77142,5.35739,8.30225,7.88609,1.33333,5.38274
"16:50:01",2.96675,3.14285,4.18765,5.35739,8.30225,7.88609,1.33333,5.38274
"17:00:01",2.6595,3.14285,4.18765,5.35739,8.30225,7.88609,1.33333,5.38274
"17:10:01",2.97472,3.14285,4.18765,5.35739,8.30225,7.28402,1.33333,5.38274
"17:20:01",6.10915,3.14285,4.6005,4.28555,8.30225,7.28402,1.33333,5.38274
"17:30:01",5.15724,3.14285,4.6005,4.28555,8.30225,7.28402,1.33333,5.38274
"17:40:01",5.75831,3.14285,0,4.87573,8.30225,7.28402,1.33333,5.38274
"17:50:01",5.40357,3.14285,0.10007,4.87573,8.14835,7.28402,1.33333,5.38274
"18:00:01",7.28402,3.41156,0.10007,4.87573,8.14835,7.28402,1.33333,5.38274
"18:10:01",4.52217,3.23871,5.01335,5.35739,8.14835,7.28402,1.33333,5.38274
"18:20:01",1.86417,3.23871,5.01335,5.35739,8.14835,5.68254,1.33333,5.38274
"18:30:01",4.21451,2.61904,4.9934,5.35739,8.14835,5.68254,1.33333,5.38274
"18:40:01",3.24616,2.61904,4.9934,5.35739,8.14835,5.68254,1.33333,5.38274
"18:50:01",0.55181,2.61904,5.53775,0,8.14835,6.68195,1.33333,5.38274
"19:00:01",1.33349,2.61904,5.47301,3.37319,8.36083,6.68195,1.33333,5.38274
"19:10:01",3.45098,2.61904,5.47301,4.33872,8.36083,2.4688,1.33333,5.38274
"19:20:01",0,2.61904,5.01335,6.42924,8.90719,2.4688,1.33333,5.38274
"19:30:01",0.21198,2.61904,5.01335,6.1002,8.95122,2.47022,1.33333,5.38274
"19:40:01",0.21198,2.61904,5.01335,4.97431,8.90043,6.68195,1.33333,5.38274
"19:50:01",0.46413,2.61904,5.01335,4.04402,7.9832,6.07988,1.33333,5.38274
"20:00:01",1.27729,2.61904,5.01335,4.04402,7.9832,6.07988,1.33333,5.38274
"20:10:01",1.27729,2.09523,4.6005,0,7.9832,6.07988,1.33333,5.38274
"20:20:01",4.5747,2.09523,4.6005,0,3.03469,6.07988,1.33333,5.38274
"20:30:01",4.5747,6.97109,4.6005,0,3.03469,6.07988,1.33333,5.38274
"20:40:01",4.12315,6.97109,4.6005,3.42222,3.03469,6.07988,1.33333,5.38274
"20:50:01",5.80855,6.97109,4.6005,3.42222,6.66182,5.47781,1.33333,5.38274
"21:00:01",5.60558,2.09523,4.6005,3.42222,8.24508,5.47781,1.33333,5.38274
"21:10:01",4.99696,2.09523,4.6005,2.93333,8.22302,5.47781,1.33333,5.38274
"21:20:01",4.03355,2.09523,4.18765,2.44444,9.07792,5.47781,1.33333,5.38274
"21:30:01",1.61713,2.09523,4.18765,0.50987,7.51708,5.47781,1.33333,5.38274
"21:40:01",0,2.09523,4.18765,0.55241,7.51708,5.47781,1.33333,5.38274
"21:50:01",3.6702,1.57142,4.18765,0.33738,7.51708,4.87573,1.33333,5.38274
"22:00:01",4.83838,1.57142,4.18765,0.6252,7.51708,4.87573,1.33333,5.38274
"22:10:01",2.2053,1.57142,4.18765,0,8.75282,4.03115,1.33333,5.38274
"22:20:01",1.92888,1.57142,3.77142,0,8.75282,4.03115,1.33333,5.38274
"22:30:01",1.92888,1.57142,3.77142,0,8.75282,4.03115,1.33333,5.38274
"22:40:01",0,1.57142,3.77142,0,8.09342,4.27366,1.33333,5.38274
"22:50:01",0,1.57142,3.35238,0.1564,8.04257,4.27366,1.33333,3.85964
"23:00:01",0,1.57142,3.35238,0.1564,8.04257,4.27366,1.33333,3.85964
"23:10:01",0.91666,1.57142,2.51428,0.1564,5.18648,0.61111,1.33333,1.54385
"23:20:01",0.91666,1.57142,0.41904,0,2.36559,0,1.33333,0
"23:30:01",0.91666,1.57142,0.41904,0,1.94826,0,1.33333,0
"23:40:01",0.45833,1.04761,0,1.26346,0.86459,0,1.33333,0
"23:50:01",0,0,0,1.21878,0.60182,0,0,0
"0:00:01",0,0,0,2.85353,0,0,0,0
"0:10:01",0,0,0,0,0,0,0,0
"0:20:01",0,0,0,0,0,0,0,0
"0:30:01",0,0,0,0,0,0,0,0
"0:40:01",0,0,0,0,0,0,0,0
"0:50:01",0,0,0.09096,0,0,0,0,0
"1:00:01",0,0,0.09096,0,0,0,0,0
"1:10:01",0,0,0.09096,0,0,0,0,0
"1:20:01",0,0,0,0,0,0,0,0
"1:30:01",0,0,0,0,0,0,0,0
"1:40:01",0,0,0,0,0,0,0,0
"1:50:01",0,0,0,0,0,0,0,0
"2:00:01",0,0,0,0,0,0,0,0
"2:10:01",0,0,0,0,0,0,0,0
"2:20:01",0,0,0,0,0,0,0,0
"2:30:01",0,0,0,0,0,0,0,0
"2:40:01",0,0,0,0,0,0,0,0
"2:50:01",0,0,0,0,0,0,1.33333,0
"3:00:01",0,0,0,0,0,0,1.33333,0
"3:10:01",0,0,0,0,0,0,1.33333,0
"3:20:01",0,0,0,0,0,0,1.33333,0
"3:30:01",0,0,0,0,0,0,1.33333,0
"3:40:01",0,0,0,0,0,0,1.33333,0
"3:50:01",0,0,0,0,0,0,1.33333,0
"4:00:01",0,0,0,0,0,0,1.33333,0
"4:10:01",0,0,0,0,0,0,1.33333,0
"4:20:01",0,0,0,0,0,0,1.33333,0
"4:30:01",0,0,0,0,0,0,1.33333,0
"4:40:01",0,0,0,0,0,0,1.33333,0
"4:50:01",0,0,0,0,0,0,1.33333,0
"5:00:01",0,0,0,0,0,0,1.33333,0
"5:10:01",0,0,0,0,0,0,1.33333,0
"5:20:01",0,0,0,0,0,0,1.33333,0
"5:30:01",0,0,0,0,0,0,1.33333,0
"5:40:01",0,0,0,0,0,0,1.33333,0
"5:50:01",0,0,0,0,0,0,1.33333,0
"6:00:01",0,0,0,0,0,0,1.33333,0
"6:10:01",0,0,0,0,0,0.61111,1.33333,0
"6:20:01",0,0,0,0,0,2.44444,1.33333,0
"6:30:01",0,0,0,0,0,2.44444,1.33333,0
"6:40:01",0,0,0,0,0,3.05555,1.33333,0
"6:50:01",0,0,0,0,0,3.05555,1.33333,0
"7:00:01",0,0,0,0,0,3.05555,1.33333,0
"7:10:01",0,0,0,0,0.47311,2.44444,1.33333,1.54385
"7:20:01",0,1.04761,0,1.46666,5.18648,2.44444,1.33333,3.08771
"7:30:01",0,1.04761,0,1.46666,5.18648,2.44444,1.33333,3.08771
"7:40:01",0,2.09523,0,2.93333,5.6526,3.66666,1.33333,4.62223
"7:50:01",1.83333,2.09523,1.67619,1.58337,6.11872,5.47781,1.33333,5.38274
"8:00:01",1.83333,2.09523,1.67619,1.58337,6.11872,5.47781,1.33333,5.38274
"8:10:01",2.29166,2.09523,2.93333,3.61247,6.58484,6.68195,1.33333,6.14325
"8:20:01",0,2.09523,2.93333,5.59492,7.05096,6.68195,1.33333,6.14325
"8:30:01",0,2.09523,2.93333,5.36973,7.05096,6.68195,1.33333,6.14325
"8:40:01",0,2.61904,2.93333,3.76733,7.51708,6.68195,1.33333,6.14325
"8:50:01",0,2.61904,8.19951,3.72223,7.51708,6.68195,1.33333,6.14325
"9:00:01",0,2.61904,8.19951,3.72223,6.92035,6.68195,1.33333,6.14325
"9:10:01",0,2.61904,8.19951,4.87573,8.04139,6.68195,1.33333,6.14325
"9:20:01",0,3.14285,3.77142,4.87573,8.05708,6.68195,1.33333,6.14325
"9:30:01",3.66666,3.14285,3.77142,6.20955,8.17629,6.68195,1.33333,6.14325
"9:40:01",3.66666,3.14285,3.77142,5.86247,7.9832,6.68195,1.33333,6.14325
"9:50:01",3.66666,3.14285,4.18765,6.89617,8.14835,7.25213,1.33333,6.14325
"10:00:01",3.66666,3.14285,4.18765,6.6686,8.14835,7.25213,1.33333,6.14325
"10:10:01",0,3.14285,4.45324,7.81831,8.30225,7.25213,1.33333,6.14325
"10:20:01",0,3.66666,4.45324,5.97236,8.30225,6.68195,1.33333,6.14325
"10:30:01",0,3.66666,4.6005,7.16666,8.30225,6.68195,1.33333,6.14325
"10:40:01",4.12315,3.66666,4.6005,6.26038,8.58305,7.70205,1.33333,6.14325
"10:50:01",4.12315,3.66666,4.6005,5.83905,8.08411,7.70205,1.33333,6.14325
"11:00:01",4.12315,3.66666,4.6005,5.83905,8.21698,7.70205,1.33333,6.14325
